# format: T+HH:MM:SS | wall | epoch | speaker(MBTI/trait) -> listener | text
T+00:00:13 | 01:46:51 | 1784566011000 | 風間エマ#b5b(INFJ/心配性) -> None | よし、道具作成のために原木を収集するは達成だ。
T+00:00:14 | 01:46:52 | 1784566012000 | 川原フウ#f33(ENFP/心配性) -> None | よし、原木を3つ集めて、作業台と道具作りの準備をするは達成だ。
T+00:00:16 | 01:46:54 | 1784566014000 | 東雲ソラ#358(ENTP/臆病) -> None | よし、原木を3つ手に入れるは達成だ。
T+00:00:16 | 01:46:54 | 1784566014000 | 西森ミオ#781(INFJ/好奇心旺盛) -> None | よし、原木を集めて拠点となる作業台を作るための準備をするは達成だ。
T+00:00:17 | 01:46:55 | 1784566015000 | 大川イオ#5c4(ESFJ/心配性) -> None | よし、たいまつを作るための原木を集めるは達成だ。
T+00:00:18 | 01:46:56 | 1784566016000 | 谷口ジン#e39(ENTP/怒りっぽい) -> None | よし、原木を伐採して3つの木材を手に入れるは達成だ。
T+00:00:18 | 01:46:56 | 1784566016000 | 石川エマ#0c5(INTJ/頑固) -> None | よし、作業台を作るための原木を確保するは達成だ。
T+00:00:18 | 01:46:56 | 1784566016000 | 真砂アル#ef2(ESFJ/強欲) -> 林カイ#48a | はじめまして、私は真砂アルだ。立派な拠点を建てるために原木から道具を揃えようとしているのだが、君は何をしているんだ？
T+00:00:18 | 01:46:56 | 1784566016000 | 小柳ナギ#9e9(ESFP/負けず嫌い) -> None | よし、作業台を作るための原木を確保するは達成だ。
T+00:00:18 | 01:46:56 | 1784566016000 | 浜田イオ#796(INFJ/心配性) -> None | はじめまして、浜田イオです。夜の不安を少しでも減らすために、今は近くの原木を集めて木材を確保しようとしています…まあ、手際よく済ませたいので、私はこれからあちらの原木を伐採してきますね。
T+00:00:19 | 01:46:57 | 1784566017000 | 大川カイ#40f(ESTJ/頑固) -> None | よし、たいまつ作成に必要な原木を収集するは達成だ。
T+00:00:19 | 01:46:57 | 1784566017000 | 小柳ジン#080(ENFP/頑固) -> None | よし、原木を3つ収集して作業台を作るための準備をするは達成だ。
T+00:00:20 | 01:46:58 | 1784566018000 | 榎本ハル#0c8(ISTP/世話好き) -> None | よし、原木を伐採して資材を確保するは達成だ。
T+00:00:20 | 01:46:58 | 1784566018000 | 林カイ#48a(ISFP/皮肉屋) -> 真砂アル#ef2 | はじめまして、林カイだ。私はこの辺りの暗さが気に入らないから、松明を作るために原木を集めて明かりを確保しようと思っているよ。君も木材集めなら、お互い邪魔にならない範囲でやろうか。
T+00:00:21 | 01:46:59 | 1784566019000 | 谷口アル#a65(INTJ/のんき) -> None | はじめまして、谷口アルです。私も拠点の拡張に向け原木を調達する必要があるため、あちらの木を伐採して効率的に集める予定です。
T+00:00:21 | 01:46:59 | 1784566019000 | 風間エマ#b5b(INFJ/心配性) -> None | よし、作業台を作るための木材を確保するは達成だ。
T+00:00:22 | 01:47:00 | 1784566020000 | 石川ナギ#6c2(ISTP/世話好き) -> None | よし、作業台を作成し、木のツルハシを作るは達成だ。
T+00:00:22 | 01:47:00 | 1784566020000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | よし、作業台と木製のツルハシを作るための原木を確保するは達成だ。
T+00:00:22 | 01:47:00 | 1784566020000 | 西森オト#ff3(INTP/臆病) -> None | よし、原木を6個収集し、作業台と道具作成の準備をするは達成だ。
T+00:00:23 | 01:47:01 | 1784566021000 | 桜井ボブ#482(ESFP/頑固) -> None | はじめまして、桜井ボブです！私も皆さんと同様、安全な拠点のためにたいまつを作りたいので、原木を集めに行くところだよ。効率よく進めて、みんなで明るく快適な場所にしようね！
T+00:00:23 | 01:47:01 | 1784566021000 | 真砂アル#ef2(ESFJ/強欲) -> 林カイ#48a | なるほど、明かりも重要だが拠点には作業台が不可欠だ。私は先に原木で作業台を作り、石のツルハシを作って効率を上げるつもりだ。君も原木を集めるなら、私の作業台で板材を加工するくらいは許可してやってもいいぞ。
T+00:00:23 | 01:47:01 | 1784566021000 | 石川ソラ#b94(ESTP/頑固) -> None | よし、作業台を作成し、拠点の基盤を固めるは達成だ。
T+00:00:23 | 01:47:01 | 1784566021000 | 石川エマ#0c5(INTJ/頑固) -> None | よし、作業台を作成し、木製のツルハシを制作する。は達成だ。
T+00:00:24 | 01:47:02 | 1784566022000 | 東雲ソラ#358(ENTP/臆病) -> None | よし、作業台を作成してツルハシを制作するは達成だ。
T+00:00:25 | 01:47:03 | 1784566023000 | 小柳ハル#dea(ESFJ/正義感が強い) -> None | はじめまして、小柳ハルです。私も周囲の安全のために原木を集めてたいまつを作るつもりですので、効率的に進めていきましょう。
T+00:00:25 | 01:47:03 | 1784566023000 | 榎本ソラ#3f3(ESFP/好奇心旺盛) -> 林ソラ#017 | はじめまして、榎本ソラです！今は原木を集めて作業台で道具を作ろうと思っているんだ。あなたはここで何をしているの？
T+00:00:25 | 01:47:03 | 1784566023000 | 林カイ#48a(ISFP/皮肉屋) -> 真砂アル#ef2 | 許可してくださるなんてご丁寧にどうも。私は私のやり方で進めるので、作業台は気が向いたら使わせてもらうよ。それじゃ、私は木を切ってくることにする。
T+00:00:25 | 01:47:03 | 1784566023000 | 柏木ダイ#8f4(ENFP/強欲) -> None | よし、作業台を作成するための原木収集は達成だ。
T+00:00:27 | 01:47:05 | 1784566025000 | 東雲エマ#e65(ISFP/正義感が強い) -> None | よし、原木を伐採して資材を蓄えるは達成だ。
T+00:00:27 | 01:47:05 | 1784566025000 | 浜田イオ#796(INFJ/心配性) -> None | 皆様も同じ目標なのですね。混雑を避けるため、私は少し離れた場所の原木を伐採してきます。それでは、また後ほど。
T+00:00:27 | 01:47:05 | 1784566025000 | 林ソラ#017(ISTP/正義感が強い) -> 榎本ソラ#3f3 | はじめまして、林ソラだ。俺も同じく原木を集めて道具を作ろうとしている。効率を上げるために必要な作業だからな。お前はどこまで集まった？
T+00:00:28 | 01:47:06 | 1784566026000 | 東雲ソラ#358(ENTP/臆病) -> 小柳ジン#080 | はじめまして、私は東雲ソラだ。今は作業効率を上げるために更なる資源を探しているところだが、君はここで何をしているんだ？
T+00:00:29 | 01:47:07 | 1784566027000 | 大川オト#72a(ESFJ/心配性) -> None | よし、原木を集めて作業台と最初の道具の材料にするは達成だ。
T+00:00:29 | 01:47:07 | 1784566027000 | 谷口アル#a65(INTJ/のんき) -> None | それなら私はこの周辺の原木を伐採します。効率化のためにも各自で作業を進めましょう。では、失礼します。
T+00:00:29 | 01:47:07 | 1784566027000 | 榎本ソラ#3f3(ESFP/好奇心旺盛) -> 林ソラ#017 | 林ソラさん、奇遇ですね！私はまだ原木を4つ持っているところなんですよ。この先に落ちている苗木を拾ったら、さっそく原木集めを頑張ろうと思います。もし良ければ、あとでどちらかが先に作業台を作ったら共有しませんか？
T+00:00:30 | 01:47:08 | 1784566028000 | 小柳ジン#080(ENFP/頑固) -> 東雲ソラ#358 | はじめまして、私は小柳ジン。今はより効率的に作業を行うための素材収集と拠点環境の整備を考えているところだ。君も作業効率を重視しているのか？具体的に何を探しているんだ、もしよければ情報を交換しないか。
T+00:00:31 | 01:47:09 | 1784566029000 | 小柳イオ#e51(ESFJ/皮肉屋) -> None | よし、oak_logを5個収集し、作業台作成への足がかりを作る。は達成だ。
T+00:00:31 | 01:47:09 | 1784566029000 | 桜井ボブ#482(ESFP/頑固) -> None | みんなのおかげで効率よく進められそうだね！私はここにある木を伐って資材を確保するよ、みんなで明るく快適な場所にしよう！
T+00:00:31 | 01:47:09 | 1784566029000 | 林ソラ#017(ISTP/正義感が強い) -> 榎本ソラ#3f3 | ああ、作業台の件は了解した。効率重視で動くからよろしく頼む。俺は今から落ちている木材を拾って、伐採を再開する。
T+00:00:32 | 01:47:10 | 1784566030000 | 榎本ハル#0c8(ISTP/世話好き) -> None | よし、作業台で木製のツルハシを作成するは達成だ。
T+00:00:32 | 01:47:10 | 1784566030000 | 東雲ソラ#358(ENTP/臆病) -> 小柳ジン#080 | 効率を重視するのは賢いな。私はこの木のツルハシを石の道具に更新するために、まずは石を掘りに行く予定だ。君は石の確保場所や、さらにその先の鉄鉱石について何か掴んでいるか？
T+00:00:33 | 01:47:11 | 1784566031000 | 川原コウ#cb6(ENTJ/正義感が強い) -> None | よし、原木を10個収集し、作業台を作成する準備を整えるは達成だ。
T+00:00:33 | 01:47:11 | 1784566031000 | 小柳ハル#dea(ESFJ/正義感が強い) -> None | それなら、私はこの南側の一帯を伐採することにするわ。みんなで手際よく進めて、早くこの村を明るく安全な場所にするのよ。
T+00:00:33 | 01:47:11 | 1784566031000 | 大川イオ#5c4(ESFJ/心配性) -> 石川エマ#0c5 | はじめまして、大川イオと申しますね。私は今、周囲の資源を確認しながら効率よく作業を進めるための計画を立てているところなのですが、あなたは何かこの付近で活動されているのですか？
T+00:00:35 | 01:47:13 | 1784566033000 | 南田ボブ#4f3(ENFJ/心配性) -> None | よし、作業台を作るための原木を集めるは達成だ。
T+00:00:35 | 01:47:13 | 1784566033000 | 小柳ジン#080(ENFP/頑固) -> 東雲ソラ#358 | 石なら南西の採石場へ行くといい。私は作業台で原木から板材を作って道具を整えるのが先決だ。情報は渡した、あとは自分で効率よく立ち回るんだな。
T+00:00:35 | 01:47:13 | 1784566033000 | 風間ダイ#f7c(INTP/心配性) -> None | よし、原木を6個収集して作業台と基本的な道具の準備を始めるは達成だ。
T+00:00:36 | 01:47:14 | 1784566034000 | 石川エマ#0c5(INTJ/頑固) -> 大川イオ#5c4 | はじめまして、石川エマです。私は拠点の整理効率を最大化するためにチェストの作成を計画しており、今は周囲の資材回収を行っています。大川さんは、具体的にどのような計画を立てているのですか？
T+00:00:38 | 01:47:16 | 1784566036000 | 谷口ジン#e39(ENTP/怒りっぽい) -> None | よし、作業台で木のツルハシを作るは達成だ。
T+00:00:38 | 01:47:16 | 1784566036000 | 大川イオ#5c4(ESFJ/心配性) -> 石川エマ#0c5 | エマさん、整理の効率化は素晴らしいですね。私はこの過密な環境を避け、この先の安全な土地を偵察して村の発展に備えようと考えていますので、ここで一旦失礼して探索に向かいますね。
T+00:00:40 | 01:47:18 | 1784566038000 | 真砂コウ#124(INFP/強欲) -> None | はじめまして、真砂コウです。今は自分の拠点を快適にするために原木を集めているところなので、この先も木を伐りに向かいます。
T+00:00:40 | 01:47:18 | 1784566038000 | 石川エマ#0c5(INTJ/頑固) -> 大川イオ#5c4 | 偵察も重要でしょうが、この過密な環境では足元の効率的な整理が優先です。私はチェストを完成させ、資材管理の基盤を整えることに集中します。
T+00:00:40 | 01:47:18 | 1784566038000 | 西森オト#ff3(INTP/臆病) -> None | よし、作業台を作成し、木のツルハシを作るは達成だ。
T+00:00:42 | 01:47:20 | 1784566040000 | 南田ボブ#4f3(ENFJ/心配性) -> None | はじめまして、南田ボブです！コウさんが木を伐るなら、僕は効率を考えて先に作業台を置いて石を確保してくるよ、その方がみんなのためになるからね！
T+00:00:44 | 01:47:22 | 1784566042000 | 川原フウ#f33(ENFP/心配性) -> None | はじめまして、川原フウだ。私は自分で作業台を作ってツルハシを確保するつもりだから、他人の準備には頼らないよ。
T+00:00:46 | 01:47:24 | 1784566044000 | 柏木ダイ#8f4(ENFP/強欲) -> None | よし、チェストを作成して拠点の荷物を整理するは達成だ。
T+00:00:46 | 01:47:24 | 1784566044000 | 大川カイ#40f(ESTJ/頑固) -> None | よし、作業台を作成し、木製のツルハシを作る。は達成だ。
T+00:00:46 | 01:47:24 | 1784566044000 | 真砂アル#ef2(ESFJ/強欲) -> None | はじめまして、真砂アルだ。私は原木から作業台とツルハシを最速で作る予定だが、資源は限られている。無駄な競合は避けたいので、それぞれ効率的に立ち回るように。
T+00:00:48 | 01:47:26 | 1784566046000 | 真砂コウ#124(INFP/強欲) -> None | 皆さん、それぞれ方針があるようですね。私は変わらず原木を調達して、自分の拠点を整えることに専念します。それでは、私はあちらの木へ向かいます。
T+00:00:50 | 01:47:28 | 1784566048000 | 西森オト#ff3(INTP/臆病) -> 小柳イオ#e51 | はじめまして、西森オトと申します。少し周囲が賑やかで落ち着かないので、拠点の方へ戻ってゆっくりしようと思っているところです。……あなたは、これからこちらで何かされるのですか？
T+00:00:50 | 01:47:28 | 1784566048000 | 柏木ダイ#8f4(ENFP/強欲) -> 月島レン#153 | はじめまして、柏木ダイと申します。先ほど拠点にチェストを設置して片付けをしていたところです。レンさんは、この辺りで何か食べ物を見かけたりはしていませんか？
T+00:00:50 | 01:47:28 | 1784566048000 | 南田ボブ#4f3(ENFJ/心配性) -> None | みんな、そんなバラバラじゃ非効率だよ！僕はすぐに作業台を設置して石を掘りに行くから、協力して効率を高めよう。僕はこれから石を確保しに行くよ。
T+00:00:51 | 01:47:29 | 1784566049000 | 林カイ#48a(ISFP/皮肉屋) -> None | よし、原木を3つ集めて、松明作成の準備をするは達成だ。
T+00:00:52 | 01:47:30 | 1784566050000 | 谷口アル#a65(INTJ/のんき) -> None | よし、原木を5個収集するは達成だ。
T+00:00:52 | 01:47:30 | 1784566050000 | 石川エマ#0c5(INTJ/頑固) -> None | よし、チェストを作成して拠点のインベントリを整理する。は達成だ。
T+00:00:52 | 01:47:30 | 1784566050000 | 月島レン#153(ESTJ/好奇心旺盛) -> 柏木ダイ#8f4 | はじめまして、月島レンです。あいにく食料の情報は持ち合わせていない。私は今、作業台で木製のツルハシを作成する予定だ。君はこの後どうするつもりだ？
T+00:00:52 | 01:47:30 | 1784566050000 | 小柳イオ#e51(ESFJ/皮肉屋) -> 西森オト#ff3 | はじめまして、小柳イオと申します。私はこれから効率的に作業を進めるために、手元の原木で木製のツルハシを作るところです。賑やかなのが苦手とは、繊細な方ですね。この環境で落ち着きを求めるのは大変でしょうが、よろしければこの先の作業台の場所を共有しましょうか？
T+00:00:53 | 01:47:31 | 1784566051000 | 大川オト#72a(ESFJ/心配性) -> None | よし、作業台を使って木製の斧とツルハシを作成し、道具の基礎を固める。は達成だ。
T+00:00:53 | 01:47:31 | 1784566051000 | 川原フウ#f33(ENFP/心配性) -> None | 効率だのなんだの五月蝿いな。私は私の方法で進めるから、いちいち指図するなよ。次は自分で作業台を組んで、ツルハシを作ることに集中する。
